[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
[ 01:01:33 ]AAAA :29 [°C], 71.93 RH, 925.71 mbar
[ 01:01:33 ]CCCC :29 [°C], 71.16 RH, 926.34 mbar
[ 01:01:38 ]CCCC :29 [°C], 70.99 RH, 926.34 mbar
[ 01:01:38 ]AAAA :30 [°C], 71.87 RH, 925.71 mbar
[ 01:01:43 ]CCCC :29 [°C], 71.16 RH, 925.07 mbar
[ 01:01:43 ]AAAA :31 [°C], 71.96 RH, 924.44 mbar
[ 01:01:48 ]CCCC :29 [°C], 71.39 RH, 926.34 mbar
[ 01:01:48 ]AAAA :32 [°C], 72.26 RH, 925.07 mbar
[ 01:01:53 ]CCCC :29 [°C], 71.25 RH, 925.07 mbar
[ 01:01:53 ]AAAA :33 [°C], 72.16 RH, 925.71 mbar
